seed,sigma,topk,acc,n_wrong,full,nan,dup_conflict,rank,sec
21,4.0,80,1.0,0,1,0,0,163,29.25065660476685
22,4.0,80,1.0,0,1,0,0,164,28.790653467178345
23,4.0,80,1.0,0,1,0,0,164,24.35844397544861
24,4.0,80,1.0,0,1,0,0,160,25.576411485672
25,4.0,80,1.0,0,1,0,0,164,27.742671728134155
26,4.0,80,0.9878048780487804,2,0,0,4,162,27.12439799308777
27,4.0,80,1.0,0,1,0,0,161,26.93512511253357
28,4.0,80,1.0,0,1,0,0,164,29.295045614242557
29,4.0,80,1.0,0,1,0,0,161,23.76137614250183
0,4.0,120,0.0121951219512195,162,0,1,0,163,20.970709323883057
1,4.0,120,0.0121951219512195,162,0,1,0,164,23.57058572769165
2,4.0,120,0.0121951219512195,162,0,1,2,163,26.9067497253418
3,4.0,120,0.0121951219512195,162,0,1,0,162,27.068599939346317
4,4.0,120,0.0121951219512195,162,0,1,0,164,24.918682098388672
5,4.0,120,0.0121951219512195,162,0,1,0,163,24.770341157913208
6,4.0,120,0.0121951219512195,162,0,1,2,160,27.9145781993866
7,4.0,120,0.0121951219512195,162,0,1,0,164,30.389530658721924
8,4.0,120,0.0121951219512195,162,0,1,0,163,23.79905128479004
9,4.0,120,0.0121951219512195,162,0,1,0,161,26.91467308998108
10,4.0,120,0.0121951219512195,162,0,1,0,164,29.971110343933105
11,4.0,120,0.0121951219512195,162,0,1,0,164,28.69210839271545
12,4.0,120,0.0121951219512195,162,0,1,0,163,29.09957528114319
13,4.0,120,0.0121951219512195,162,0,1,0,164,29.129661798477173
14,4.0,120,0.0121951219512195,162,0,1,0,164,26.63269329071045
15,4.0,120,0.0121951219512195,162,0,1,0,164,23.22658371925354
16,4.0,120,0.0121951219512195,162,0,1,2,163,26.334462881088257
17,4.0,120,0.0121951219512195,162,0,1,0,136,30.672235250473022
18,4.0,120,0.0121951219512195,162,0,1,0,164,30.789681434631348
19,4.0,120,0.0121951219512195,162,0,1,0,163,32.76568245887756
20,4.0,120,0.0121951219512195,162,0,1,0,164,29.13030433654785
21,4.0,120,0.0121951219512195,162,0,1,0,158,27.06431889533997
22,4.0,120,0.0121951219512195,162,0,1,0,163,27.16843008995056
23,4.0,120,0.0121951219512195,162,0,1,0,163,28.774314880371094
24,4.0,120,0.0121951219512195,162,0,1,0,162,27.64421844482422
25,4.0,120,0.0121951219512195,162,0,1,0,164,28.33492517471313
26,4.0,120,0.0121951219512195,162,0,1,0,164,23.369066953659058
27,4.0,120,0.0121951219512195,162,0,1,0,164,27.604336977005005
28,4.0,120,0.0121951219512195,162,0,1,0,164,28.52825140953064
29,4.0,120,0.0121951219512195,162,0,1,0,164,22.576441287994385
