sample,M2h,sec
655,1.126853585243225,54.889594078063965
658,1.1502790451049805,55.103296756744385
661,1.091011881828308,55.33285665512085
664,1.135697603225708,55.562113523483276
667,1.124275803565979,55.81919980049133
670,1.1441829204559326,56.04699659347534
673,1.1016587018966675,56.27833557128906
676,1.1019364595413208,56.51770043373108
679,1.1703723669052124,56.7580943107605
682,1.1285984516143799,56.99569845199585
685,1.0973193645477295,57.2183563709259
688,1.1044573783874512,57.469775676727295
691,1.1155261993408203,57.71276831626892
694,1.1069399118423462,57.97476816177368
697,1.1280770301818848,58.211291790008545
700,1.1759898662567139,58.4898521900177
703,1.1794137954711914,58.75048589706421
706,1.133165717124939,59.056169509887695
709,1.1115375757217407,59.29592990875244
712,1.1478064060211182,59.530882358551025
715,1.1957417726516724,59.82100772857666
718,1.1184606552124023,60.10375499725342
721,1.1502408981323242,60.32830786705017
724,1.0953739881515503,60.55198311805725
727,1.1041196584701538,60.81907534599304
730,1.1132172346115112,61.059736251831055
733,1.1709191799163818,61.30865669250488
736,1.146936297416687,61.57921648025513
739,1.1081446409225464,61.8117470741272
742,1.0665605068206787,62.05187439918518
745,1.1669909954071045,62.29817342758179
748,1.0991506576538086,62.539931774139404
751,1.123494029045105,62.77176523208618
754,1.1234304904937744,62.992087841033936
757,1.1283670663833618,63.19667887687683
760,1.1314294338226318,63.42555618286133
763,1.1483943462371826,63.64912152290344
766,1.1379668712615967,63.87287974357605
769,1.167079210281372,64.14280009269714
772,1.115167260169983,64.37941408157349
775,1.1592110395431519,64.68388366699219
778,1.1041057109832764,64.95224285125732
781,1.1033153533935547,65.20659637451172
784,1.1331015825271606,65.46090865135193
787,1.1285150051116943,65.69131422042847
790,1.109135627746582,65.93782162666321
793,1.0985100269317627,66.16858792304993
796,1.1230056285858154,66.4328224658966
799,1.156300663948059,66.68432521820068
802,1.0978920459747314,66.9054274559021
805,1.0550862550735474,67.16487073898315
808,1.1522984504699707,67.41478633880615
811,1.1288623809814453,67.70009016990662
814,1.126761555671692,67.99583840370178
817,1.1214659214019775,68.25816988945007
820,1.1300108432769775,68.54182410240173
823,1.1360365152359009,68.74686980247498
826,1.1066175699234009,68.9883930683136
829,1.0847848653793335,69.21600246429443
832,1.1170858144760132,69.45126295089722
835,1.122351884841919,69.68749165534973
838,1.1026455163955688,69.9684567451477
841,1.1079285144805908,70.20738792419434
844,1.0930261611938477,70.44848370552063
847,1.1199392080307007,70.69843769073486
850,1.1240301132202148,70.97084045410156
853,1.1162105798721313,71.24222803115845
856,1.1379352807998657,71.50777506828308
859,1.0839815139770508,71.74180889129639
862,1.1178276538848877,71.98602414131165
865,1.1459189653396606,72.28483462333679
868,1.1013357639312744,72.53167939186096
871,1.1415983438491821,72.81237554550171
874,1.110432744026184,73.06489062309265
877,1.1392627954483032,73.30797958374023
880,1.1201316118240356,73.57686924934387
883,1.1421324014663696,73.83271360397339
886,1.1483900547027588,74.09447765350342
889,1.1314125061035156,74.32791113853455
892,1.0939339399337769,74.56857061386108
895,1.1354343891143799,74.81824111938477
898,1.1095287799835205,75.09082579612732
901,1.1474597454071045,75.34208536148071
904,1.1188913583755493,75.59624218940735
907,1.1261236667633057,75.86745715141296
910,1.1433943510055542,76.09668278694153
913,1.1263753175735474,76.36586213111877
916,1.128688931465149,76.61304354667664
919,1.1419862508773804,76.85440731048584
922,1.1234025955200195,77.07907485961914
925,1.1308788061141968,77.34913563728333
928,1.1001453399658203,77.60138320922852
931,1.1584275960922241,77.84574246406555
934,1.1185327768325806,78.10157871246338
937,1.1381518840789795,78.35376310348511
940,1.1352375745773315,78.63743138313293
943,1.1293926239013672,78.91314816474915
946,1.1008137464523315,79.1689465045929
949,1.1099958419799805,79.38868236541748
952,1.1280944347381592,79.62462782859802
955,1.0975202322006226,79.87912464141846
958,1.1119999885559082,80.1257712841034
961,1.1390599012374878,80.34893369674683
964,1.1575590372085571,80.61502027511597
967,1.1556674242019653,80.84683966636658
970,1.1525615453720093,81.11132860183716
973,1.0996675491333008,81.46864080429077
976,1.1383421421051025,81.75441074371338
979,1.1619806289672852,82.01061153411865
982,1.1493332386016846,82.29584288597107
985,1.113675594329834,82.55329537391663
988,1.129394292831421,82.80719470977783
991,1.1411501169204712,83.08013129234314
994,1.077231764793396,83.40690851211548
997,1.1279888153076172,83.80902457237244
