sample,M1,M2,m2_excluded,edges,sec
349,0.25376302003860474,1.4611942768096924,0,1843,30.027573585510254
352,0.25376302003860474,1.4585415124893188,0,1843,30.267313241958618
355,0.25376302003860474,1.4554299116134644,0,1843,30.524803638458252
358,0.25376302003860474,1.4547945261001587,0,1843,30.789371252059937
361,0.25376302003860474,1.4721722602844238,0,1843,31.03850293159485
364,0.25376302003860474,1.4721556901931763,0,1843,31.259313583374023
367,0.25376302003860474,1.4553817510604858,0,1843,31.509806632995605
370,0.25376302003860474,1.4449256658554077,0,1843,31.73563051223755
373,0.25376302003860474,1.4754674434661865,0,1843,32.05402207374573
376,0.25376302003860474,1.465551733970642,0,1843,32.28882122039795
379,0.25376302003860474,1.4527333974838257,0,1843,32.58526086807251
382,0.25376302003860474,1.4646081924438477,0,1843,32.86079978942871
385,0.25376302003860474,1.4700969457626343,0,1843,33.1269268989563
388,0.25376302003860474,1.4677002429962158,0,1843,33.4188437461853
391,0.25376302003860474,1.4534863233566284,0,1843,33.65222191810608
394,0.25376302003860474,1.4693037271499634,1,1843,33.909984827041626
397,0.25376302003860474,1.4555578231811523,0,1843,34.16360521316528
400,0.25376302003860474,1.455710768699646,0,1843,34.419296979904175
403,0.25376302003860474,1.4494837522506714,0,1843,34.651827573776245
406,0.25376302003860474,1.446718692779541,0,1843,34.90461874008179
409,0.25376302003860474,1.4517810344696045,0,1843,35.15161371231079
412,0.25376302003860474,1.4602526426315308,0,1843,35.38529014587402
415,0.25376302003860474,1.4507964849472046,0,1843,35.68477821350098
418,0.25376302003860474,1.4413855075836182,0,1843,35.95136857032776
421,0.25376302003860474,1.4614531993865967,0,1843,36.20477247238159
424,0.25376302003860474,1.4797096252441406,0,1843,36.462746381759644
427,0.25376302003860474,1.4577929973602295,0,1843,36.756364583969116
430,0.25376302003860474,1.4587349891662598,0,1843,37.000017166137695
433,0.25376302003860474,1.454530954360962,0,1843,37.260987997055054
436,0.25376302003860474,1.454483151435852,0,1843,37.52591109275818
439,0.25376302003860474,1.4650076627731323,0,1843,37.77784872055054
442,0.25376302003860474,1.4496748447418213,0,1843,38.03820848464966
445,0.25376302003860474,1.466196060180664,0,1843,38.29785704612732
448,0.25376302003860474,1.4677573442459106,0,1843,38.58167910575867
451,0.25376302003860474,1.4620369672775269,0,1843,38.85830473899841
454,0.25376302003860474,1.4716393947601318,0,1843,39.113977909088135
457,0.25376302003860474,1.4740608930587769,0,1843,39.35432982444763
460,0.25376302003860474,1.468931794166565,0,1843,39.641676902770996
463,0.25376302003860474,1.462442398071289,0,1843,39.93003845214844
466,0.25376302003860474,1.4635558128356934,0,1843,40.19765377044678
469,0.25376302003860474,1.4641417264938354,1,1843,40.4919228553772
472,0.25376302003860474,1.4609732627868652,0,1843,40.78986692428589
475,0.25376302003860474,1.4579017162322998,0,1843,41.05376052856445
478,0.25376302003860474,1.478837251663208,0,1843,41.33595514297485
481,0.25376302003860474,1.4593806266784668,0,1843,41.62377429008484
484,0.25376302003860474,1.4686732292175293,0,1843,41.88732409477234
487,0.25376302003860474,1.4697636365890503,0,1843,42.16217517852783
490,0.25376302003860474,1.446298599243164,0,1843,42.41336941719055
493,0.25376302003860474,1.4809576272964478,1,1843,42.69268560409546
496,0.25376302003860474,1.4571653604507446,0,1843,42.99610376358032
499,0.25376302003860474,1.4585037231445312,0,1843,43.27729535102844
502,0.25376302003860474,1.4656776189804077,1,1843,43.552849769592285
505,0.25376302003860474,1.4690542221069336,0,1843,43.79446244239807
508,0.25376302003860474,1.4719667434692383,0,1843,44.075932264328
511,0.25376302003860474,1.460527777671814,0,1843,44.348148822784424
514,0.25376302003860474,1.4606220722198486,0,1843,44.60245442390442
517,0.25376302003860474,1.4546831846237183,0,1843,44.85931038856506
520,0.25376302003860474,1.4629712104797363,0,1843,45.11544609069824
523,0.25376302003860474,1.4694595336914062,0,1843,45.400524616241455
526,0.25376302003860474,1.4541513919830322,0,1843,45.68708825111389
529,0.25376302003860474,1.4363362789154053,0,1843,45.9648323059082
532,0.25376302003860474,1.4633461236953735,0,1843,46.25461173057556
535,0.25376302003860474,1.4351906776428223,0,1843,46.5012423992157
538,0.25376302003860474,1.4643923044204712,0,1843,46.768632888793945
541,0.25376302003860474,1.4862457513809204,0,1843,47.032798290252686
544,0.25376302003860474,1.459364891052246,0,1843,47.311506509780884
547,0.25376302003860474,1.4495426416397095,0,1843,47.548120737075806
550,0.25376302003860474,1.4681774377822876,0,1843,47.81191086769104
553,0.25376302003860474,1.472900629043579,0,1843,48.077048540115356
