sample,M4,sec
242,0.053294936217458205,0.10185885429382324
245,0.05648965542461274,0.10385346412658691
248,0.04280778791642428,0.10497689247131348
251,0.0478382885340279,0.10613059997558594
254,0.03990549529004139,0.10813188552856445
257,0.045310926203755916,0.11013031005859375
260,0.04915399384394466,0.11214590072631836
263,0.04510360111310689,0.11313128471374512
266,0.05345452249106416,0.11481928825378418
269,0.04396192581996163,0.11786961555480957
272,0.046340460927496246,0.11985397338867188
275,0.04485781039118879,0.12085294723510742
278,0.0471106073117512,0.1238548755645752
281,0.047631036437387815,0.12696385383605957
284,0.048025082601652856,0.12796568870544434
287,0.037627261359779125,0.12896490097045898
290,0.04644177146857649,0.12998080253601074
293,0.04267478133409095,0.1309654712677002
296,0.04528909320542031,0.1309654712677002
299,0.039804522308788406,0.132979154586792
302,0.06509132878093989,0.13396525382995605
305,0.04577788478866561,0.13727593421936035
308,0.05894732002406582,0.13862013816833496
311,0.06496527862401845,0.14058971405029297
314,0.05148336656833095,0.1425919532775879
317,0.0496594806886454,0.14590883255004883
320,0.04548753319454173,0.1479039192199707
323,0.05036431486386912,0.15090680122375488
326,0.05682083814648457,0.15190768241882324
329,0.04484983846819275,0.15392637252807617
332,0.0512805418236855,0.15496182441711426
335,0.05208097762030307,0.15601348876953125
338,0.04537866641284923,0.15601348876953125
341,0.04599922178420014,0.15702033042907715
344,0.05121085495451251,0.1590137481689453
347,0.04345824066696945,0.16001534461975098
350,0.044213724332726634,0.16301417350769043
353,0.04517024836189051,0.164015531539917
356,0.0480462854623262,0.16526126861572266
359,0.04909204647173301,0.1662602424621582
362,0.05317478319668254,0.1682572364807129
365,0.043630250604149684,0.16926002502441406
368,0.03640767103464925,0.17225956916809082
371,0.05357582514668641,0.17326092720031738
374,0.036146880395647805,0.17554497718811035
377,0.0482959516786877,0.17655467987060547
380,0.050076426089984936,0.17855525016784668
383,0.05262376802662688,0.18055224418640137
386,0.04463332790644636,0.1825547218322754
389,0.04205694585782663,0.18464350700378418
392,0.055002759054232006,0.18572568893432617
395,0.04136937223293916,0.18875503540039062
398,0.05452478775587087,0.18972325325012207
401,0.05139644923171861,0.19072413444519043
404,0.03870237896027583,0.19372177124023438
407,0.046549402630487555,0.19592547416687012
410,0.049628152818111275,0.19794368743896484
413,0.043253273554163335,0.1989285945892334
416,0.046286699928662314,0.20093798637390137
419,0.04843943774147216,0.20292234420776367
422,0.04563542325848056,0.20392465591430664
425,0.04057295107835982,0.20502710342407227
428,0.06179210688028318,0.20626401901245117
431,0.05338021609879277,0.20726418495178223
434,0.049144251792579356,0.20726418495178223
437,0.046220403697259146,0.20826339721679688
440,0.048961524123382304,0.20926213264465332
443,0.04535387549332569,0.21026086807250977
446,0.05236442969529244,0.21127676963806152
449,0.046648145154595054,0.21226191520690918
452,0.04807392904698238,0.21226191520690918
455,0.04718764018537289,0.21326732635498047
458,0.046753887010650204,0.21654057502746582
461,0.04910590323610153,0.21753168106079102
464,0.046122426078848866,0.21852612495422363
467,0.03558881298887749,0.2195272445678711
470,0.044968013403406136,0.22052526473999023
473,0.041912913950301944,0.22252559661865234
476,0.04400780121522406,0.223527193069458
479,0.04620944990119705,0.22466135025024414
482,0.04666657262742879,0.2267136573791504
485,0.039064467383018046,0.22874164581298828
488,0.041849800274299465,0.23070788383483887
491,0.046173842205509324,0.23171186447143555
494,0.059320712420791774,0.23372483253479004
497,0.048367685347215125,0.23477625846862793
500,0.031008529984083613,0.23477625846862793
503,0.04997292795156668,0.23592638969421387
506,0.043949530345020096,0.23692917823791504
509,0.05371306999626469,0.2379288673400879
512,0.048716387852226824,0.23892688751220703
515,0.04703972335414527,0.241926908493042
518,0.05326650164401133,0.24393892288208008
521,0.04811279318739052,0.24512696266174316
524,0.05179621352876969,0.24712920188903809
527,0.057711560274192227,0.25012969970703125
530,0.05047053485309558,0.25212764739990234
533,0.05026601398668626,0.253129243850708
536,0.052569906199447416,0.25635242462158203
539,0.03799495080530575,0.2583472728729248
542,0.056362786546718086,0.25934839248657227
545,0.04411489582137604,0.2603485584259033
548,0.044827265559019155,0.26134705543518066
551,0.045420349489676,0.26337146759033203
554,0.04610564981004983,0.2644314765930176
557,0.04589832129110138,0.26747655868530273
560,0.04677853350361654,0.26947736740112305
563,0.0489308986756745,0.2724754810333252
566,0.04978235676157072,0.27347826957702637
569,0.04180455740910123,0.2746090888977051
572,0.0477674085009331,0.2757687568664551
575,0.05979757331655236,0.2767641544342041
578,0.04162448448123516,0.27776432037353516
581,0.04352075696902204,0.27877092361450195
584,0.05043375217348425,0.27976131439208984
587,0.05101374709689066,0.28076171875
590,0.04699778100492235,0.2817666530609131
593,0.042588670014191206,0.2817666530609131
596,0.04895696466673066,0.28376317024230957
599,0.04740652674621759,0.28376317024230957
602,0.04797665046577408,0.2848777770996094
605,0.053876685612023266,0.28604602813720703
608,0.04560485976070294,0.2870447635650635
611,0.04790854507503663,0.288043737411499
614,0.04413065953902638,0.29004430770874023
617,0.0443303612235284,0.2910423278808594
620,0.044266194849087115,0.2930428981781006
623,0.04715503574396552,0.29404449462890625
626,0.03976913442408674,0.29518842697143555
629,0.05585533212305567,0.29619455337524414
632,0.05087497778135507,0.2981894016265869
635,0.04642311263289828,0.3001894950866699
638,0.05059036379273427,0.3011898994445801
641,0.04230590567737875,0.30219078063964844
644,0.043572660657234,0.30429720878601074
647,0.04102638930416595,0.3053889274597168
650,0.04019616501533586,0.3073875904083252
653,0.05414477542756689,0.30838894844055176
656,0.04149968489163357,0.3093898296356201
659,0.04349482853880083,0.3093898296356201
662,0.051635509341939494,0.31038761138916016
665,0.04200667080529211,0.3113868236541748
668,0.04444539290581006,0.31238698959350586
671,0.04839363065641249,0.3133869171142578
674,0.06238654327590009,0.3145315647125244
