embed,kume,root_id,x,y,r,angle_deg
M(93x93),EPG,720575940610453427,0.05365179680315066,-0.09184825915254902,0.10637019323833309,300.2907022859842
M(93x93),EPG,720575940626721835,0.0184055515882397,-0.0671155298574293,0.06959352467946144,285.3355923580293
M(93x93),EPG,720575940635461550,-0.01158907848417634,-0.029747878725848956,0.03192558580198975,248.7152740328343
M(93x93),EPG,720575940632614295,0.02245379821691798,-0.022046499709339903,0.031467780407902615,315.5243972502887
M(93x93),EPG,720575940624784280,0.05236506437722632,-0.05934335895509083,0.0791437566666113,311.42544455248634
M(93x93),EPG,720575940614926475,-0.07265097522933534,0.07287210303914143,0.10290047426091287,134.91293696756412
M(93x93),EPG,720575940613836438,-0.07266300968118228,0.07270679167600383,0.10279197698140384,134.98274384760336
M(93x93),EPG,720575940605827761,0.05098393130534984,-0.056270746282641254,0.07593258943664427,312.1780511696073
M(93x93),EPG,720575940623046548,0.048233280827890745,-0.0525197918015434,0.07130762869637165,312.5638364215301
M(93x93),EPG,720575940633719487,-0.08104123062449545,0.07484037690120698,0.11031211663207005,137.27798219809844
M(93x93),EPG,720575940616569601,0.03944030083871419,-0.09441383744845079,0.10232062368843695,292.67217511208185
M(93x93),EPG,720575940623852873,-0.07849939420407841,0.07126724574435506,0.10602440854064521,137.7646340104968
M(93x93),EPG,720575940630199963,-0.05994652007647284,0.06124259482507845,0.08569854543799284,134.38726524965605
M(93x93),EPG,720575940608722371,-0.07801405612098414,0.07038594947076772,0.10507318799460487,137.94254701853518
M(93x93),EPG,720575940625351354,0.0551456489826055,-0.08567361966850284,0.10188724998161434,302.768220583291
M(93x93),EPG,720575940617769851,0.0420963840237818,-0.09396312567752754,0.10296200529791803,294.13283854067146
M(93x93),EPG,720575940660921985,0.03305864992487323,-0.08583136786853957,0.09197770406484305,291.06459622423483
M(93x93),EPG,720575940628843458,-0.0411815688073989,0.011399489940711327,0.04273019986317552,164.52735369956386
M(93x93),EPG,720575940620282906,-0.07316240453092245,0.07361799339362578,0.103789914674068,134.82216129967946
M(93x93),EPG,720575940618612952,-0.030189634796784937,0.032923189092428695,0.04466934551993216,132.51994464681468
M(93x93),EPG,720575940635427982,-0.06961186145172987,0.056776762392462446,0.08982990594754629,140.79865874798196
M(93x93),EPG,720575940604801993,0.021645527195173563,-0.0219836688207677,0.030851426909920692,314.5559464329685
M(93x93),EPG,720575940636730694,0.052336088852320474,-0.09170965953193475,0.10559227172393501,299.7121709948261
M(93x93),EPG,720575940632844002,0.017884613272831657,-0.016971344421470642,0.02465534269465582,316.5008763213868
M(93x93),EPG,720575940628802041,-0.07358335828976939,0.07192491329454465,0.10289656830831816,135.6530060693584
M(93x93),EPG,720575940610901930,-0.03493807499963366,0.037483275143703615,0.05124124315606168,132.98720637814168
M(93x93),EPG,720575940622364771,0.052513764025455975,-0.06525411440517662,0.08376034180281929,308.8256470036361
M(93x93),EPG,720575940642634532,0.03790410302309641,-0.08681435419201167,0.09472831213402633,293.58661154975107
M(93x93),PEN,720575940624879678,-0.021766644716618593,-0.014678661526527317,0.026253569784504646,213.99434466593166
M(93x93),PEN,720575940610249426,0.049581509130266085,-0.06506703736029608,0.08180492282546807,307.3076383522759
M(93x93),PEN,720575940642855328,-0.08107646880608857,0.07506860924667667,0.1104929404455096,137.20343341333637
M(93x93),PEN,720575940616459333,-0.0714605514637715,0.07241182148090691,0.10173535425646835,134.6211714465182
M(93x93),PEN,720575940626469909,-0.0356702464903212,0.038042539755613156,0.05214979689066586,133.15669029568798
M(93x93),PEN,720575940633538724,0.038644402560677,-0.09576281212959323,0.1032661901894293,291.97618938499187
M(93x93),PEN,720575940643558692,-0.013970628395144714,-0.026736154920264155,0.030166213512398014,242.4112700548776
M(93x93),PEN,720575940625021796,0.016786146972286774,-0.016489635707636764,0.023530465697596627,315.5105332783234
M(93x93),PEN,720575940638847104,-0.03842263572792749,0.010034733397331488,0.03971139396491321,165.36315884633433
M(93x93),PEN,720575940630666404,0.026115482134762016,-0.027105666911646627,0.0376395481622215,313.93412928986834
M(93x93),PEN,720575940622913260,0.05574295254932428,-0.09303453283476318,0.10845598673516736,300.92852789289105
M(93x93),PEN,720575940622772137,-0.07408149752674882,0.07634211330201232,0.10637756595834963,134.13900489012022
