sample,m_r_cv,m_gmax,m_V,m_nzero,s_r_cv,s_gmax,s_V,s_nzero,m_lit_r_cv,m_lit_gmax,s_lit_r_cv,s_lit_gmax
518,3.162241248864571,50.97108353059618,0.5484701552064841,2,2.8225423962222056,91.59351920109242,0.7245491353352167,2,3.488802382395483,92.09286968017418,2.814475319636498,100.74654846465266
519,3.2139726156585686,67.45023015174581,0.5583544202618678,2,2.837461083147178,110.50452319158266,0.806840893205208,2,3.5734733338211133,95.75626472109698,2.804511818619453,92.77126898330809
520,2.171308163286315,48.818228063237065,0.38626266791153413,2,2.7468402315326133,91.14860723736001,0.6315372550901153,2,2.936033424001386,119.92133908612695,3.2341668484964052,93.35033457582202
521,2.55259385539307,50.08081991153623,0.5235974527515936,2,2.4763730142045524,55.72291020709691,0.5295772572345842,2,2.9035224700921196,102.19258175729618,2.847629926408385,135.3610847993571
522,2.620002431077332,67.85169522540282,0.5669824367871045,2,2.4737298139606168,90.11501021129301,0.7095058663765672,2,3.86281839520678,97.54177678122126,2.8407246993227964,116.63065572850375
523,2.5721490324467315,73.18410125571684,0.37510377007573725,2,2.7336766295249566,94.16469370281665,0.5833769123145578,2,2.949104416108874,92.41135338932685,3.397805582029512,90.269544558118
524,3.206253423020311,90.71864968883605,0.5352647760589082,2,2.753673148930554,92.15523646073568,0.6385340257067655,2,3.6739960006180463,103.6924429218536,2.8277831214401212,111.09010827817042
525,3.5560008324696257,90.5863259664647,0.6745204001908786,2,2.83744821201166,96.2963683383672,0.7854375776530923,2,4.1251945625498365,112.07182021676346,2.826637916788413,98.3856436877491
526,2.972261394104323,90.5261244410847,0.5020038623843044,2,2.671748593609169,91.34951527690582,0.5954576047225053,2,3.4393831282735063,102.34198251741694,2.8400418131858736,117.20639918103383
527,2.4732948437957427,48.184609329766204,0.4086028451880447,2,2.756247736033068,69.6152208915016,0.5140622077635059,2,3.635257118766537,90.5971061390471,2.7621384065116077,93.75911917413688
528,3.044103906934981,90.60842000478407,0.4862089826054742,2,2.770423550166481,91.45884183615337,0.682803866770756,2,3.794766545188188,90.51414062274198,3.2690494863085338,90.99001267514554
529,2.814317616759845,69.1678155664828,0.5406345227691536,2,2.7863652253628732,91.27444501130257,0.6955399522204536,2,3.1694994279380393,90.64233671340898,2.755277683296724,94.86952988761772
530,3.2064465255445387,90.46784286088892,0.5676446753008892,2,2.792750352616829,92.27467010543423,0.6356084161890003,2,3.7267545227408174,107.9862763115498,3.2535824289545197,102.46128432249702
531,2.203816417228863,90.9095737259915,0.436896093152491,2,2.427673838928843,91.6002851506226,0.4623130732370962,2,2.8376423187267488,90.13769748488252,2.576866957841513,98.83070992358397
532,2.5681496646863207,73.85867095302102,0.5567685122219562,2,2.4057312273377898,91.13559044340734,0.6323851678499709,2,4.003131595690865,90.91704948970386,3.3007147132535803,90.9072981677077
