arm,scope,rank,re,im,abs
A_gercek,A_gercek,39,-123.94342892716632,-276.87476343703224,303.3506357378143
A_gercek,A_gercek,40,-215.4374886397815,0.0,215.4374886397815
A_gercek,A_gercek,41,-227.0911250363521,0.0,227.0911250363521
A_gercek,A_gercek,42,-288.4021982298479,0.0,288.4021982298479
A_gercek,A_gercek,43,-291.5731367041997,0.0,291.5731367041997
A_gercek,A_gercek,44,-324.3198122822581,0.0,324.3198122822581
A_gercek,A_gercek,45,-336.87520401587426,0.0,336.87520401587426
A_gercek,A_gercek,46,-373.813165255321,0.0,373.813165255321
A_gercek,A_gercek,47,-434.2469733024694,0.0,434.2469733024694
A_gercek,A_gercek,48,-436.4896617659162,0.0,436.4896617659162
A_gercek,A_gercek,49,-570.019052288969,0.0,570.019052288969
A_gercek,A_gercek,50,-634.9895023532938,0.0,634.9895023532938
A_gercek,A_gercek_SCC,1,275.08879044018136,0.0,275.08879044018136
A_gercek,A_gercek_SCC,2,252.62614121509765,0.0,252.62614121509765
A_gercek,A_gercek_SCC,3,205.15055141066162,0.0,205.15055141066162
A_gercek,A_gercek_SCC,4,150.68927895341074,192.74276915051257,244.6569718019632
A_gercek,A_gercek_SCC,5,150.68927895341074,-192.74276915051257,244.6569718019632
A_gercek,A_gercek_SCC,6,143.73702542062597,436.56401803265385,459.6177480445952
A_gercek,A_gercek_SCC,7,143.73702542062597,-436.56401803265385,459.6177480445952
A_gercek,A_gercek_SCC,8,131.542286519698,522.1032717891386,538.4191671511643
A_gercek,A_gercek_SCC,9,131.542286519698,-522.1032717891386,538.4191671511643
A_gercek,A_gercek_SCC,10,88.43957164408408,334.5041070566547,345.99791252312343
A_gercek,A_gercek_SCC,11,88.43957164408408,-334.5041070566547,345.99791252312343
A_gercek,A_gercek_SCC,12,82.38235057070297,336.8268308774292,346.75519561282204
A_gercek,A_gercek_SCC,13,82.38235057070297,-336.8268308774292,346.75519561282204
A_gercek,A_gercek_SCC,14,65.82057978656462,204.29182959284452,214.6334092396413
A_gercek,A_gercek_SCC,15,65.82057978656462,-204.29182959284452,214.6334092396413
A_gercek,A_gercek_SCC,16,53.33389134047637,275.57098066356315,280.6846439501022
A_gercek,A_gercek_SCC,17,53.33389134047637,-275.57098066356315,280.6846439501022
A_gercek,A_gercek_SCC,18,49.540452611043975,247.6754845338833,252.58147612998258
A_gercek,A_gercek_SCC,19,49.540452611043975,-247.6754845338833,252.58147612998258
A_gercek,A_gercek_SCC,20,46.668125144704305,398.63247741915393,401.354912711747
A_gercek,A_gercek_SCC,21,46.668125144704305,-398.63247741915393,401.354912711747
A_gercek,A_gercek_SCC,22,40.63893054953908,236.995232357461,240.4542842961572
A_gercek,A_gercek_SCC,23,40.63893054953908,-236.995232357461,240.4542842961572
A_gercek,A_gercek_SCC,24,-8.466150680750701,274.8728589687574,275.0032078085773
A_gercek,A_gercek_SCC,25,-8.466150680750701,-274.8728589687574,275.0032078085773
A_gercek,A_gercek_SCC,26,-28.76237652909799,259.8945521834488,261.4812661707087
A_gercek,A_gercek_SCC,27,-28.76237652909799,-259.8945521834488,261.4812661707087
A_gercek,A_gercek_SCC,28,-33.64173775521775,298.59312741065986,300.4823160455027
A_gercek,A_gercek_SCC,29,-33.64173775521775,-298.59312741065986,300.4823160455027
A_gercek,A_gercek_SCC,30,-34.60562035131343,222.72313766558534,225.39553014978472
A_gercek,A_gercek_SCC,31,-34.60562035131343,-222.72313766558534,225.39553014978472
A_gercek,A_gercek_SCC,32,-97.31563704615976,288.8656176704277,304.8174507567072
A_gercek,A_gercek_SCC,33,-97.31563704615976,-288.8656176704277,304.8174507567072
A_gercek,A_gercek_SCC,34,-99.91763191970728,213.79877679674115,235.9945976674569
A_gercek,A_gercek_SCC,35,-99.91763191970728,-213.79877679674115,235.9945976674569
A_gercek,A_gercek_SCC,36,-104.94226124218196,273.377483389597,292.8278105287333
A_gercek,A_gercek_SCC,37,-104.94226124218196,-273.377483389597,292.8278105287333
A_gercek,A_gercek_SCC,38,-123.94342892716489,276.8747634370317,303.3506357378132
A_gercek,A_gercek_SCC,39,-123.94342892716489,-276.8747634370317,303.3506357378132
A_gercek,A_gercek_SCC,40,-215.43748863977797,0.0,215.43748863977797
A_gercek,A_gercek_SCC,41,-227.0911250363505,0.0,227.0911250363505
A_gercek,A_gercek_SCC,42,-288.4021982298465,0.0,288.4021982298465
A_gercek,A_gercek_SCC,43,-291.57313670419785,0.0,291.57313670419785
A_gercek,A_gercek_SCC,44,-324.31981228225806,0.0,324.31981228225806
A_gercek,A_gercek_SCC,45,-336.87520401587597,0.0,336.87520401587597
A_gercek,A_gercek_SCC,46,-373.8131652553222,0.0,373.8131652553222
A_gercek,A_gercek_SCC,47,-434.2469733024719,0.0,434.2469733024719
A_gercek,A_gercek_SCC,48,-436.4896617659197,0.0,436.4896617659197
A_gercek,A_gercek_SCC,49,-570.0190522889654,0.0,570.0190522889654
A_gercek,A_gercek_SCC,50,-634.9895023532941,0.0,634.9895023532941
A_derece,A_derece,1,110.41991509647372,28.389740934431753,114.01111805537481
A_derece,A_derece,2,110.41991509647372,-28.389740934431753,114.01111805537481
A_derece,A_derece,3,109.79946798516039,19.517084832059517,111.52058002972397
A_derece,A_derece,4,109.79946798516039,-19.517084832059517,111.52058002972397
A_derece,A_derece,5,109.37505180653531,1.3425034257903679,109.38329064866599
A_derece,A_derece,6,109.37505180653531,-1.3425034257903679,109.38329064866599
A_derece,A_derece,7,102.10429436193814,38.18688768961338,109.01158341464662
A_derece,A_derece,8,102.10429436193814,-38.18688768961338,109.01158341464662
A_derece,A_derece,9,96.67199403780418,46.196732358031795,107.14295362647452
A_derece,A_derece,10,96.67199403780418,-46.196732358031795,107.14295362647452
A_derece,A_derece,11,85.33001698659874,73.60080668329118,112.68669195324011
A_derece,A_derece,12,85.33001698659874,-73.60080668329118,112.68669195324011
A_derece,A_derece,13,82.8432697448884,69.27391903690582,107.99019955883091
A_derece,A_derece,14,82.8432697448884,-69.27391903690582,107.99019955883091
A_derece,A_derece,15,81.39016275687077,78.810696062259,113.29379686199805
A_derece,A_derece,16,81.39016275687077,-78.810696062259,113.29379686199805
A_derece,A_derece,17,48.72866558782555,96.52610842491167,108.1284997474206
A_derece,A_derece,18,48.72866558782555,-96.52610842491167,108.1284997474206
A_derece,A_derece,19,33.70419016892332,105.6658139102036,110.91094023696996
