seed,n,op,wrong,sim
3,27,+,0,0.8499999999999999
3,27,-,0,0.9124999999999999
3,28,+,0,0.9749999999999999
3,28,-,0,0.9499999999999998
3,29,+,0,0.9749999999999999
3,29,-,0,0.9499999999999998
3,30,+,0,0.9374999999999999
3,30,-,0,0.9316949906249123
3,31,+,0,0.8295150620062532
3,31,-,0,0.8944271909999159
3,32,+,0,0.7624999999999998
3,32,-,0,0.7624999999999998
3,33,+,0,0.9613406389911041
3,33,-,0,0.957217352663941
3,34,+,0,0.9613406389911041
3,34,-,0,0.957217352663941
3,35,+,0,0.8874999999999998
3,35,-,0,0.7831325301204819
3,36,+,0,0.9374999999999999
3,36,-,0,0.8293299643665493
3,37,+,0,0.9374999999999999
3,37,-,0,0.8293299643665493
3,38,+,0,0.9249999999999998
3,38,-,0,0.9124999999999999
3,39,+,0,0.9249999999999998
3,39,-,0,0.9124999999999999
3,40,+,0,0.8374999999999998
3,40,-,0,0.8439249387982211
3,41,+,0,0.8374999999999998
3,41,-,0,0.8874999999999998
3,42,+,0,0.8874999999999998
3,42,-,0,0.9249999999999998
3,43,+,0,0.8874999999999998
3,43,-,0,0.9249999999999998
3,44,+,0,0.9499999999999998
3,44,-,0,0.9624999999999998
3,45,+,0,0.9499999999999998
3,45,-,0,0.9624999999999998
3,46,+,0,0.9374999999999999
3,46,-,0,0.9374999999999999
3,47,+,0,0.9249999999999998
3,47,-,0,0.9374999999999999
3,48,+,0,0.7749999999999999
3,48,-,0,0.7749999999999999
3,49,+,0,0.8447367914999205
3,49,-,0,0.8874999999999998
3,50,+,0,0.8447367914999205
3,50,-,0,0.8874999999999998
3,51,+,0,0.9499999999999998
3,51,-,0,0.9499999999999998
3,52,+,0,0.9499999999999998
3,52,-,0,0.9499999999999998
3,53,+,0,0.8999999999999998
3,53,-,0,0.8999999999999998
3,54,+,0,0.8874999999999998
3,54,-,0,0.8749999999999999
3,55,+,0,0.8624999999999998
3,55,-,0,0.8624999999999998
3,56,+,0,0.9374999999999999
3,56,-,0,0.9499999999999998
3,57,+,0,0.9374999999999999
3,57,-,0,0.9499999999999998
3,58,+,0,0.8874999999999998
3,58,-,0,0.8624999999999998
3,59,+,0,0.9249999999999998
3,59,-,0,0.9124999999999999
3,60,+,0,0.9249999999999998
3,60,-,0,0.9749999999999999
3,61,+,0,0.9249999999999998
3,61,-,0,0.9749999999999999
3,62,+,0,0.8999999999999998
3,62,-,0,0.8447367914999205
3,63,+,0,0.8999999999999998
3,63,-,0,0.8944271909999159
3,64,+,0,0.8499999999999999
3,64,-,0,0.8944271909999159
3,65,+,0,0.9249999999999998
3,65,-,0,0.8835852486128687
3,66,+,0,0.9249999999999998
3,66,-,0,0.8835852486128687
3,67,+,0,0.9499999999999998
3,67,-,0,0.9068497908749147
3,68,+,0,0.9499999999999998
3,68,-,0,0.9499999999999998
3,69,+,0,0.9124999999999999
3,69,-,0,0.9499999999999998
3,70,+,0,0.9249999999999998
3,70,-,0,0.8749999999999999
3,71,+,0,0.9249999999999998
3,71,-,0,0.9249999999999998
3,72,+,0,0.8874999999999998
3,72,-,0,0.9249999999999998
3,73,+,0,0.7950463919999252
3,73,-,0,0.8447367914999205
3,74,+,0,0.8749999999999999
3,74,-,0,0.8874999999999998
3,75,+,0,0.8874999999999998
3,75,-,0,0.8874999999999998
3,76,+,0,0.8874999999999998
3,76,-,0,0.8749999999999999
3,77,+,0,0.8499999999999999
3,77,-,0,0.8624999999999998
3,78,+,0,0.8499999999999999
3,78,-,0,0.8499999999999999
3,79,+,0,0.9624999999999998
3,79,-,0,0.9374999999999999
3,80,+,0,0.9624999999999998
3,80,-,0,0.9374999999999999
3,81,+,0,0.8390607775994221
3,81,-,0,0.9374999999999999
4,0,+,0,0.9589266029707681
4,0,-,0,0.9874999999999998
4,1,+,0,0.9589266029707681
4,1,-,0,0.9874999999999998
4,2,+,0,0.9249999999999998
4,2,-,0,0.9249999999999998
4,3,+,0,0.8499999999999999
4,3,-,0,0.9124999999999999
4,4,+,0,0.7531438174453119
4,4,-,0,0.7453559924999299
4,5,+,0,0.8749999999999999
4,5,-,0,0.8641975308641975
4,6,+,0,0.8749999999999999
4,6,-,0,0.8641975308641975
4,7,+,0,0.8999999999999998
4,7,-,0,0.8415259932542927
4,8,+,0,0.8999999999999998
4,8,-,0,0.9068497908749147
4,9,+,0,0.9316949906249123
4,9,-,0,0.9499999999999998
4,10,+,0,0.9316949906249123
4,10,-,0,0.9499999999999998
4,11,+,0,0.8374999999999998
4,11,-,0,0.8999999999999998
4,12,+,0,0.8323141916249217
4,12,-,0,0.8999999999999998
4,13,+,0,0.8624999999999998
4,13,-,0,0.8571593913749194
4,14,+,0,0.8624999999999998
4,14,-,0,0.8198915917499229
4,15,+,0,0.9441175904999112
4,15,-,0,0.9124999999999999
4,16,+,0,0.9441175904999112
4,16,-,0,0.9124999999999999
4,17,+,0,0.9012345679012346
4,17,-,0,0.9249999999999998
4,18,+,0,0.9316949906249123
4,18,-,0,0.9624999999999998
4,19,+,0,0.9316949906249123
4,19,-,0,0.9624999999999998
4,20,+,0,0.9249999999999998
4,20,-,0,0.9124999999999999
4,21,+,0,0.8374999999999998
4,21,-,0,0.8374999999999998
4,22,+,0,0.882004591124917
4,22,-,0,0.8624999999999998
4,23,+,0,0.882004591124917
4,23,-,0,0.8624999999999998
4,24,+,0,0.8249999999999998
4,24,-,0,0.8323141916249217
4,25,+,0,0.9316949906249123
4,25,-,0,0.8323141916249217
4,26,+,0,0.95654019037491
4,26,-,0,0.9374999999999999
4,27,+,0,0.95654019037491
4,27,-,0,0.9374999999999999
4,28,+,0,0.9499999999999998
4,28,-,0,0.8624999999999998
4,29,+,0,0.8749999999999999
4,29,-,0,0.8624999999999998
4,30,+,0,0.8249999999999998
4,30,-,0,0.7749999999999999
4,31,+,0,0.9192723907499135
4,31,-,0,0.9042052915695226
4,32,+,0,0.9192723907499135
4,32,-,0,0.9283174326780432
4,33,+,0,0.9374999999999999
4,33,-,0,0.9283174326780432
4,34,+,0,0.9499999999999998
4,34,-,0,0.9124999999999999
4,35,+,0,0.9499999999999998
4,35,-,0,0.9124999999999999
4,36,+,0,0.9249999999999998
4,36,-,0,0.8749999999999999
4,37,+,0,0.7999999999999998
4,37,-,0,0.8124999999999999
4,38,+,0,0.9192723907499135
4,38,-,0,0.8488746876271653
4,39,+,0,0.9816135651097471
4,39,-,0,0.9095085938862486
4,40,+,0,0.9816135651097471
4,40,-,0,0.9624999999999998
4,41,+,0,0.9693433955458752
4,41,-,0,0.9624999999999998
4,42,+,0,0.9316949906249123
4,42,-,0,0.9124999999999999
4,43,+,0,0.8870071077479605
4,43,-,0,0.8999999999999998
4,44,+,0,0.8870071077479605
4,44,-,0,0.8447367914999205
4,45,+,0,0.9124999999999999
4,45,-,0,0.9374999999999999
4,46,+,0,0.9374999999999999
4,46,-,0,0.9374999999999999
4,47,+,0,0.9624999999999998
4,47,-,0,0.9124999999999999
4,48,+,0,0.9624999999999998
4,48,-,0,0.9124999999999999
4,49,+,0,0.9756823110194697
4,49,-,0,0.9374999999999999
4,50,+,0,0.9756823110194697
4,50,-,0,0.9499999999999998
4,51,+,0,0.895857265954714
4,51,-,0,0.9499999999999998
4,52,+,0,0.7639872188644489
4,52,-,0,0.7240490231688785
4,53,+,0,0.8571593913749194
4,53,-,0,0.8249999999999998
4,54,+,0,0.9499999999999998
4,54,-,0,0.9624999999999998
4,55,+,0,0.9499999999999998
4,55,-,0,0.9624999999999998
4,56,+,0,0.9499999999999998
4,56,-,0,0.9124999999999999
4,57,+,0,0.9374999999999999
4,57,-,0,0.9124999999999999
4,58,+,0,0.8374999999999998
4,58,-,0,0.8695819912499182
4,59,+,0,0.8999999999999998
4,59,-,0,0.8624999999999998
4,60,+,0,0.8999999999999998
4,60,-,0,0.8944271909999159
4,61,+,0,0.8999999999999998
4,61,-,0,0.8944271909999159
4,62,+,0,0.8749999999999999
4,62,-,0,0.8249999999999998
4,63,+,0,0.7999999999999998
4,63,-,0,0.8249999999999998
4,64,+,0,0.8374999999999998
4,64,-,0,0.8624999999999998
4,65,+,0,0.9249999999999998
4,65,-,0,0.9499999999999998
4,66,+,0,0.9249999999999998
4,66,-,0,0.9499999999999998
4,67,+,0,0.8999999999999998
4,67,-,0,0.8999999999999998
4,68,+,0,0.8749999999999999
4,68,-,0,0.8749999999999999
4,69,+,0,0.8874999999999998
4,69,-,0,0.8874999999999998
4,70,+,0,0.8749999999999999
4,70,-,0,0.8999999999999998
4,71,+,0,0.8874999999999998
4,71,-,0,0.8999999999999998
4,72,+,0,0.8874999999999998
4,72,-,0,0.8874999999999998
