arm,seed,train,combo,combo_mag,newn,newn_mag,shared_frac
coarse_kc,5,1.0,0.0,1.0,0.0,0.16666666666666666,0.30694444444444446
coarse_kc,6,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.29305555555555557
coarse_kc,7,1.0,0.0,1.0,0.0,0.16666666666666666,0.3222222222222222
coarse_kc,8,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333
coarse_kc,9,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3277777777777777
coarse_kc,10,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2875
coarse_kc,11,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2972222222222222
coarse_kc,12,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2916666666666667
coarse_kc,13,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.35000000000000003
coarse_kc,14,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.2916666666666667
coarse_kc,15,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3027777777777778
coarse_kc,16,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.28194444444444444
coarse_kc,17,1.0,0.0,1.0,0.16666666666666666,0.16666666666666666,0.2791666666666667
coarse_kc,18,1.0,0.0,1.0,0.0,0.16666666666666666,0.2791666666666667
coarse_kc,19,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.32500000000000007
coarse_kc_shuffled,0,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.33472222222222225
coarse_kc_shuffled,1,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3361111111111111
coarse_kc_shuffled,2,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.32916666666666666
coarse_kc_shuffled,3,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3291666666666667
coarse_kc_shuffled,4,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3125
coarse_kc_shuffled,5,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.30972222222222223
coarse_kc_shuffled,6,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3319444444444445
coarse_kc_shuffled,7,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.30972222222222223
coarse_kc_shuffled,8,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.3208333333333333
coarse_kc_shuffled,9,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.30972222222222223
