r_cv,r_mean,r_std,g_max_deg,R,kuiper_V,sample
0.4820795777230423,12717.905222849338,6131.042379352883,24.33122275714571,0.06433791507773981,0.1554866363830828,91
0.43251130638858176,12954.53188821223,5602.981510623213,27.810127958830034,0.054491587277840925,0.13910531931079284,92
0.612215734854128,12051.192037324843,7377.929388999044,29.896001311953142,0.03219296214773975,0.09959457681073214,93
0.5019522436134758,12619.762591695639,6334.518146771038,41.18956653220949,0.05873992663221477,0.14432094875902857,94
0.4825098037102065,12715.798664547876,6135.497517649502,33.266315871996774,0.04790617597680715,0.12120429117595288,95
0.4992298472908635,12633.305506993602,6306.9231790352405,40.681444035155074,0.030433223214194102,0.12887751597613384,96
0.46602615172737116,12795.896757703362,5963.222523893243,22.802052961772326,0.05106258911550215,0.11060383302625709,97
0.49926464280064015,12633.132602418924,6307.276436199805,25.571175169755914,0.06749045522370972,0.1426920411510832,98
0.48316532753568386,12712.587360383945,6142.281435805903,31.10997872761449,0.0833385976890701,0.15750859445718024,99
0.5332970630484916,12461.80309545421,6645.842991094331,27.46991153849737,0.00477313116673562,0.14423315900402076,100
0.5469309081396463,12392.042009355417,6777.590789881405,22.741430908616984,0.019641860361286942,0.12031084510464997,101
0.5824558094431532,12207.783130595342,7110.494204837381,37.98201406599351,0.06414878467790805,0.13229741327186906,102
0.5601873225050772,12323.676244755636,6903.5671989690845,22.086196986673883,0.06796861447843161,0.16441871089279098,103
0.4145814132776723,13036.811391549696,5404.81969134313,39.72467030109104,0.05574681647002629,0.14463753116136618,104
0.6016270238543532,12107.10407441524,7283.960991785354,22.556454921828504,0.09306163021271366,0.1362497251707242,105
0.4782588907669169,12736.576052148748,6091.380734869138,32.99348971217483,0.012497475638327957,0.1139276571619165,106
0.5227580065399217,12515.31083664965,6542.47894419445,32.25181870917353,0.029615854814326895,0.15087919517190307,107
0.4751120505092807,12751.903633505353,6058.583083211475,24.8275623226581,0.04004580022523147,0.12456449728923852,108
0.5326541002620158,12465.078255373,6639.575042811322,30.159462508983673,0.07725852653658964,0.13966076714581777,109
0.6107173609221066,12059.11589425087,7364.711433990721,22.405152666025348,0.06494342137300099,0.13025506811703225,110
0.4795334598434578,12730.354910878197,6104.631135448576,25.113703189363484,0.02203447720332749,0.14542136264222136,111
0.4976748522733177,12641.027461037473,6291.121474254776,26.173399389382986,0.04503606985688137,0.11854264884672155,112
0.5166048037550884,12546.370964739894,6481.515510077993,33.61461487104447,0.054893473947324176,0.1287410572443073,113
0.5053691276259539,12602.722690947638,6369.026972036022,24.249983739336322,0.051685165941134745,0.11806001713677808,114
0.4368181400786798,12934.487430515226,5650.018742268723,30.765280281999015,0.04472882737616619,0.14547820170417833,115
0.49532370156437205,12652.684067216878,6267.174306898418,40.46494120120659,0.07307350697598174,0.14090245890371167,116
0.4894384293593877,12681.760186117266,6206.940787005651,26.015228370390663,0.08383631937667867,0.16192277222233753,117
0.4630280380346297,12810.325582015988,5931.5399208256895,19.704577389710263,0.0682397479132382,0.14651521929048983,118
0.4685267509577741,12783.82860038235,5989.565678938211,53.83023568386017,0.09670365327839443,0.1700390186264884,119
0.4704843731415911,12774.359793968286,6010.1366599503135,23.315274834429882,0.12219179677589476,0.16731341310276762,120
0.5734767604294,12254.660660135312,7027.763095536011,24.411006010709404,0.11793236053125278,0.18411612268544963,121
