arm,seed,train_exact,train_tol,g1_exact,g1_tol,g2_exact,g2_tol,newn_exact,newn_tol,op_flip,dead_units
coarse_kc_ablasyon,17,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ablasyon,18,0.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
coarse_kc_ablasyon,19,0.4,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0
coarse_kc_ortusme_kontrol,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_ortusme_kontrol,1,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,2,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,3,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.3333333333333333,0
coarse_kc_ortusme_kontrol,4,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,6,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,8,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0
coarse_kc_ortusme_kontrol,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_ortusme_kontrol,10,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,11,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,12,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_ortusme_kontrol,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,14,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_ortusme_kontrol,15,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,17,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.3333333333333333,0
coarse_kc_ortusme_kontrol,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0
coarse_kc_gercek_termometre,0,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,1,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,2,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,3,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,4,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,5,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,6,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,7,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,8,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,9,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,10,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,11,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,12,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,13,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,14,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,15,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,16,0.9,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,17,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,18,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
coarse_kc_gercek_termometre,19,0.9,0.9,0.0,0.0,0.0,0.0,0.25,0.75,0.2222222222222222,0
