arm,seed,split,H,train_H,target_s,n,acc_exact,acc_within2,acc_nominal,pred_mean,pred_slope,stuck,pca_res,sat,active,lam,lam_nom,val_mse,val_acc_nom
A_gercek,9,P,0,0,6,37,0.8918918918918919,1.0,0.5675675675675675,5.938068188188332,,,0.1375637998002957,0.18563896757947748,0.6860245514636449,1e-05,1e-06,0.5174869419573056,0.4
A_gercek,9,P,10,10,ALL,300,0.45666666666666667,0.9333333333333333,0.36666666666666664,0.09101554362437886,0.8693694623085082,,0.16025760912596348,0.23723087818696884,0.682247403210576,0.001,0.01,4.8267400532005125,0.32
A_gercek,9,P,10,10,-6,43,0.627906976744186,0.9767441860465116,0.7906976744186046,-5.132836089731078,,,0.12964802589415958,0.23723087818696884,0.682247403210576,0.001,0.01,4.8267400532005125,0.32
A_gercek,9,P,10,10,-4,45,0.4666666666666667,0.8666666666666667,0.37777777777777777,-2.9527441796103178,,,0.13871581869226415,0.23723087818696884,0.682247403210576,0.001,0.01,4.8267400532005125,0.32
A_gercek,9,P,10,10,-2,42,0.35714285714285715,1.0,0.09523809523809523,-1.609752244667415,,,0.15158435498913123,0.23723087818696884,0.682247403210576,0.001,0.01,4.8267400532005125,0.32
A_gercek,9,P,10,10,0,42,0.35714285714285715,0.8809523809523809,0.38095238095238093,-0.4137144347583195,,,0.15029956559420918,0.23723087818696884,0.682247403210576,0.001,0.01,4.8267400532005125,0.32
A_gercek,9,P,10,10,2,44,0.45454545454545453,0.8636363636363636,0.1590909090909091,1.9458879430021263,,,0.1914102575718215,0.23723087818696884,0.682247403210576,0.001,0.01,4.8267400532005125,0.32
A_gercek,9,P,10,10,4,47,0.40425531914893614,0.9574468085106383,0.14893617021276595,3.8835889666233587,,,0.179260227188831,0.23723087818696884,0.682247403210576,0.001,0.01,4.8267400532005125,0.32
A_gercek,9,P,10,10,6,37,0.5405405405405406,1.0,0.6756756756756757,5.3439987200190195,,,0.18199457047710285,0.23723087818696884,0.682247403210576,0.001,0.01,4.8267400532005125,0.32
A_gercek,9,P,20,20,ALL,300,0.29333333333333333,0.7366666666666667,0.3333333333333333,-0.08937421332150476,0.5954681250914836,,0.20905656435689782,0.26701447906830345,0.6843720491029273,0.1,1.0,7.47303663510634,0.34
A_gercek,9,P,20,20,-6,43,0.20930232558139536,0.9302325581395349,0.7441860465116279,-4.4041550800495886,,,0.18568812843638183,0.26701447906830345,0.6843720491029273,0.1,1.0,7.47303663510634,0.34
A_gercek,9,P,20,20,-4,45,0.4222222222222222,0.6666666666666666,0.3333333333333333,-1.9988865525186388,,,0.19769525612010277,0.26701447906830345,0.6843720491029273,0.1,1.0,7.47303663510634,0.34
A_gercek,9,P,20,20,-2,42,0.19047619047619047,0.6666666666666666,0.023809523809523808,-0.601707654873184,,,0.20714659087395942,0.26701447906830345,0.6843720491029273,0.1,1.0,7.47303663510634,0.34
A_gercek,9,P,20,20,0,42,0.2619047619047619,0.7142857142857143,0.2619047619047619,-0.40007030544234085,,,0.20676869932955114,0.26701447906830345,0.6843720491029273,0.1,1.0,7.47303663510634,0.34
A_gercek,9,P,20,20,2,44,0.5,0.8636363636363636,0.06818181818181818,1.7957693778432473,,,0.226279826773598,0.26701447906830345,0.6843720491029273,0.1,1.0,7.47303663510634,0.34
A_gercek,9,P,20,20,4,47,0.3829787234042553,0.7872340425531915,0.1276595744680851,2.1360156033996316,,,0.21753301842732958,0.26701447906830345,0.6843720491029273,0.1,1.0,7.47303663510634,0.34
A_gercek,9,P,20,20,6,37,0.02702702702702703,0.4864864864864865,0.8648648648648649,3.1130915583077305,,,0.2235482926008122,0.26701447906830345,0.6843720491029273,0.1,1.0,7.47303663510634,0.34
