arm,k,H,mean,std,ci95,n,chance
A_gercek,6,40,0.36222222222222217,0.04462129565065076,0.015967525579672806,30,0.14285714285714277
A_gercek,8,0,0.321111111111111,0.03560730190444695,0.012741909343775339,30,0.1125
A_gercek,8,10,0.32694444444444437,0.04386081113604869,0.015695389691129272,30,0.1125
A_gercek,8,20,0.3063888888888889,0.04783048638516689,0.01711591973533843,30,0.1125
A_gercek,8,40,0.28222222222222215,0.045313580325783705,0.01621525646909263,30,0.1125
A_gercek,10,0,0.2486111111111111,0.04210023464713174,0.015065375485763139,30,0.11111111111111112
A_gercek,10,10,0.25194444444444436,0.03627027992198866,0.012979152980462604,30,0.11111111111111112
A_gercek,10,20,0.2566666666666666,0.043735972025806716,0.01565071658926018,30,0.11111111111111112
A_gercek,10,40,0.24555555555555555,0.035404973278092985,0.012669506974689047,30,0.11111111111111112
A_isaretperm,2,0,1.0,0.0,0.0,15,0.33333333333333326
A_isaretperm,2,10,1.0,0.0,0.0,15,0.33333333333333326
A_isaretperm,2,20,1.0,0.0,0.0,15,0.33333333333333326
A_isaretperm,2,40,0.9988888888888888,0.004303314829119394,0.002177777777777799,15,0.33333333333333326
A_isaretperm,4,0,0.8694444444444446,0.07725875577509221,0.03909832493017673,15,0.20000000000000007
A_isaretperm,4,10,0.8716666666666667,0.04998015479183586,0.025293448134220818,15,0.20000000000000007
A_isaretperm,4,20,0.8388888888888888,0.06351686023719635,0.03214396627520062,15,0.20000000000000007
A_isaretperm,4,40,0.81,0.07722878811871721,0.0390831592035922,15,0.20000000000000007
A_isaretperm,6,0,0.6750000000000002,0.05607888434911371,0.028379831127313196,15,0.1428571428571428
A_isaretperm,6,10,0.708888888888889,0.07529483494445134,0.03810444386125205,15,0.1428571428571428
A_isaretperm,6,20,0.7016666666666665,0.08092961864857127,0.040956037858135605,15,0.1428571428571428
A_isaretperm,6,40,0.6355555555555555,0.08014537056674217,0.04055915356946697,15,0.1428571428571428
A_isaretperm,8,0,0.5661111111111111,0.07130213677720122,0.036083859802848214,15,0.11111111111111113
A_isaretperm,8,10,0.5961111111111111,0.07623758464280798,0.03858154103508535,15,0.11111111111111113
A_isaretperm,8,20,0.5816666666666667,0.09402802689235716,0.04758474701149674,15,0.11111111111111113
A_isaretperm,8,40,0.49499999999999994,0.11377365443917341,0.05757741326699661,15,0.11111111111111113
A_isaretperm,10,0,0.46444444444444444,0.08799275463198585,0.044530477841475305,15,0.11111111111111113
A_isaretperm,10,10,0.44888888888888895,0.09884585295045335,0.05002290339631968,15,0.11111111111111113
A_isaretperm,10,20,0.43888888888888883,0.11424643835695132,0.05781667494101134,15,0.11111111111111113
A_isaretperm,10,40,0.35944444444444446,0.11153095282993616,0.05644244965853973,15,0.11111111111111113
A_w0,2,0,0.5566666666666666,0.10630055704989874,0.03803916580810831,30,0.3333333333333334
A_w0,2,10,0.5702777777777777,0.09866647574279964,0.03530734489679353,30,0.3333333333333334
A_w0,2,20,0.5608333333333333,0.109228178686441,0.03908680175608891,30,0.3333333333333334
A_w0,2,40,0.5744444444444443,0.10741060020797312,0.03843638965072963,30,0.3333333333333334
A_w0,4,0,0.36444444444444446,0.044200720624257964,0.01581702473934141,30,0.20000000000000007
A_w0,4,10,0.3791666666666666,0.04843083704636432,0.017330752460378396,30,0.20000000000000007
A_w0,4,20,0.37333333333333324,0.05025795528038837,0.017984578323420996,30,0.20000000000000007
A_w0,4,40,0.3780555555555555,0.05049957955390648,0.018071042459251483,30,0.20000000000000007
A_w0,6,0,0.31222222222222223,0.029824946915174483,0.010672720185198985,30,0.14285714285714277
A_w0,6,10,0.2997222222222222,0.035724797759652496,0.012783954695577505,30,0.14285714285714277
A_w0,6,20,0.2947222222222222,0.04417633451623064,0.015808298282656612,30,0.14285714285714277
A_w0,6,40,0.3019444444444444,0.05305257157964431,0.018984618922714733,30,0.14285714285714277
A_w0,8,0,0.2711111111111111,0.025307811302028985,0.009056283965720903,30,0.1125
A_w0,8,10,0.26111111111111107,0.02864545236597945,0.010250643481447295,30,0.1125
A_w0,8,20,0.26305555555555554,0.03021976762062707,0.01081400496014269,30,0.1125
A_w0,8,40,0.2652777777777778,0.036885666087350714,0.013199366091568267,30,0.1125
A_w0,10,0,0.23027777777777775,0.0374270256334244,0.013393089117170406,30,0.11111111111111112
A_w0,10,10,0.22666666666666663,0.038556322935598734,0.013797202966770405,30,0.11111111111111112
A_w0,10,20,0.23277777777777775,0.03687592672602192,0.013195880905876556,30,0.11111111111111112
A_w0,10,40,0.23999999999999996,0.037357648075485174,0.013368262676904687,30,0.11111111111111112
B_dengeli,2,0,0.9966666666666667,0.005826715823167523,0.003611435882831444,10,0.33333333333333337
B_dengeli,2,10,0.9991666666666668,0.002635231383473605,0.0016333333333333057,10,0.33333333333333337
B_dengeli,2,20,0.9983333333333334,0.00527046276694735,0.0032666666666666985,10,0.33333333333333337
B_dengeli,2,40,0.9966666666666667,0.005826715823167523,0.003611435882831444,10,0.33333333333333337
B_dengeli,4,0,0.4933333333333333,0.0445831169949753,0.027632902199201184,10,0.2
B_dengeli,4,10,0.5575,0.07802045474120675,0.048357578848602055,10,0.2
B_dengeli,4,20,0.4875,0.06012461339420379,0.03726562146549922,10,0.2
B_dengeli,4,40,0.44000000000000006,0.04560972389283065,0.028269199746738277,10,0.2
B_dengeli,6,0,0.3441666666666666,0.0459887935893351,0.028504149578787236,10,0.1428571428571428
B_dengeli,6,10,0.3458333333333333,0.051106581924928056,0.03167618765251795,10,0.1428571428571428
B_dengeli,6,20,0.3308333333333333,0.05919339511036143,0.03668844639345516,10,0.1428571428571428
B_dengeli,6,40,0.30833333333333335,0.02965855070008696,0.01838256017312382,10,0.1428571428571428
B_dengeli,8,0,0.2916666666666667,0.03828902431136171,0.02373178313705477,10,0.11111111111111112
B_dengeli,8,10,0.2899999999999999,0.043709196139490994,0.027091240441182746,10,0.11111111111111112
B_dengeli,8,20,0.27666666666666667,0.044755853469161846,0.02773996537511079,10,0.11111111111111112
B_dengeli,8,40,0.2658333333333333,0.05561802043880081,0.03447240621313599,10,0.11111111111111112
B_dengeli,10,0,0.23499999999999996,0.04903387591914717,0.03039151116047512,10,0.11111111111111112
B_dengeli,10,10,0.2483333333333333,0.040215469046341906,0.02492580595425423,10,0.11111111111111112
B_dengeli,10,20,0.23666666666666664,0.032678758155228305,0.020254504147759443,10,0.11111111111111112
B_dengeli,10,40,0.2233333333333333,0.030631219449089395,0.01898542650964383,10,0.11111111111111112
B_derece,2,0,1.0,0.0,0.0,10,0.33333333333333337
B_derece,2,10,0.9983333333333334,0.0035136418446314733,0.0021777777777777407,10,0.33333333333333337
B_derece,2,20,0.9983333333333333,0.00527046276694735,0.0032666666666666985,10,0.33333333333333337
B_derece,2,40,0.95,0.15811388300841897,0.09799999999999999,10,0.33333333333333337
B_derece,4,0,0.8241666666666667,0.04014825919077168,0.024884148854190907,10,0.2
B_derece,4,10,0.675,0.07677930533936254,0.047588306479430936,10,0.2
B_derece,4,20,0.5466666666666666,0.09011309766271698,0.055852676582966734,10,0.2
B_derece,4,40,0.54,0.07461837062391473,0.046248945266585316,10,0.2
B_derece,6,0,0.5358333333333333,0.06678808387839967,0.04139568326036657,10,0.1428571428571428
B_derece,6,10,0.45666666666666667,0.055527770829858956,0.03441646892598562,10,0.1428571428571428
B_derece,6,20,0.4125,0.04325669861777064,0.02681077957155605,10,0.1428571428571428
B_derece,6,40,0.4033333333333333,0.042346308889243366,0.026246514171844613,10,0.1428571428571428
B_derece,8,0,0.37666666666666665,0.06858355272004875,0.04250852637783172,10,0.11111111111111112
B_derece,8,10,0.3458333333333333,0.07579313138690141,0.046977069531085006,10,0.11111111111111112
B_derece,8,20,0.3458333333333333,0.0598673946173675,0.03710619561591324,10,0.11111111111111112
B_derece,8,40,0.3266666666666666,0.08144148850176253,0.05047795754119677,10,0.11111111111111112
B_derece,10,0,0.30916666666666665,0.06204463745592393,0.03845566470818244,10,0.11111111111111112
B_derece,10,10,0.27999999999999997,0.05273389988926349,0.032684809776461245,10,0.11111111111111112
B_derece,10,20,0.2658333333333333,0.0735403223568246,0.045580764028071256,10,0.11111111111111112
B_derece,10,40,0.2416666666666666,0.03600411499115479,0.022315581668089796,10,0.11111111111111112
B_gercek,2,0,0.9974999999999999,0.005624571314254637,0.003486145418157903,10,0.33333333333333337
B_gercek,2,10,1.0,0.0,0.0,10,0.33333333333333337
B_gercek,2,20,0.9950000000000001,0.00702728368926311,0.004355555555555583,10,0.33333333333333337
B_gercek,2,40,0.8208333333333334,0.21567615469426313,0.1336774656208548,10,0.33333333333333337
B_gercek,4,0,0.7766666666666667,0.08895830622776933,0.055136929436216536,10,0.2
B_gercek,4,10,0.7741666666666667,0.08779272024715411,0.054414491760745566,10,0.2
B_gercek,4,20,0.4408333333333333,0.14188164516443943,0.08793915475072298,10,0.2
B_gercek,4,40,0.3625,0.06126873611142437,0.03797475607249415,10,0.2
B_gercek,6,0,0.3983333333333333,0.0823834755095768,0.051061807137508845,10,0.1428571428571428
B_gercek,6,10,0.3424999999999999,0.051136768922199906,0.031694897747269614,10,0.1428571428571428
B_gercek,6,20,0.30916666666666665,0.056307412401548185,0.03489969577850354,10,0.1428571428571428
B_gercek,6,40,0.28083333333333327,0.03558375617755527,0.022055040576131668,10,0.1428571428571428
B_gercek,8,0,0.2833333333333333,0.03767961101736261,0.023354064864151865,10,0.11111111111111112
B_gercek,8,10,0.2766666666666666,0.046114457709882525,0.02858203700764123,10,0.11111111111111112
B_gercek,8,20,0.2425,0.04053081437104674,0.02512125901146255,10,0.11111111111111112
B_gercek,8,40,0.24083333333333332,0.037975381889187504,0.02353738554976994,10,0.11111111111111112
B_gercek,10,0,0.24,0.04059739090321138,0.02516252357361227,10,0.11111111111111112
B_gercek,10,10,0.22249999999999998,0.04213624286719172,0.026116313902460515,10,0.11111111111111112
B_gercek,10,20,0.23666666666666666,0.03647255013815526,0.02260592078020686,10,0.11111111111111112
B_gercek,10,40,0.22916666666666666,0.0397231934613197,0.02462069038556247,10,0.11111111111111112
